id,label,type,group,note
cat_pensamiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,
cat_contexto,Contexto socio-histórico,category,Contexto socio-histórico,
cat_personales,Personales y biográficas,category,Personales y biográficas,
cat_culturales,Culturales y artísticas,category,Culturales y artísticas,
ref_arequipa,Arequipa,reference,Personales y biográficas,"…a, de la persona de este novelista que tiene más bien el aire de un galán de cine Mario Vargas Llosa nació en Arequipa, Perú en 1936 me parece que fue en el mes de marzo también y por lo tanto está muy cerca de los 40 Exactament…"
ref_cochabamba-bolivia,Cochabamba (Bolivia),reference,Personales y biográficas,"…ra donde nací ya adolescente porque mi familia se trasladó a Bolivia cuando yo tenía apenas un año vivimos en Cochabamba, cerca de 10 años así que en realidad fue en Bolivia donde aprendí a caminar, a hablar, a leer, a escribir ¿Q…"
ref_piura,Piura,reference,Personales y biográficas,"…e parece cuando la familia regresa al Perú y esa una ciudad que luego aparece en la segunda de tus novelas es Piura, ¿no? Piura, sí, es una ciudad del norte del Perú una ciudad muy distinta de Cochabamba que es una ciudad, bu…"
ref_lima,Lima,reference,Personales y biográficas,"…o la leyenda bueno, mientras tanto han pasado otras cosas simultáneamente en la vida de Vargas Llosa ha ido a Lima en el año 47 y en el año 1950 se produce su entrada en el famoso colegio en el colegio que quizá era famoso e…"
ref_colegio-militar-leoncio-prado,Colegio Militar Leoncio Prado,reference,Personales y biográficas,…e su entrada en el famoso colegio en el colegio que quizá era famoso entonces pero que es mucho más famoso el Leóncio Prado el Leóncio Prado desde la novela este colegio parece que marcó algo importante en la sensibilidad del trauma…
ref_destino-editorial,Destino (editorial),reference,Personales y biográficas,…es la fórmula de una conversación de un diálogo entre un muchacho antiguo universitario antiguo militante clandestino y un antiguo guardaespaldas de funcionarios de la dictadura y un poco a través de la vida de estos dos person…
ref_panagra-aerolinea,Panagra (aerolínea),reference,Personales y biográficas,…a en el aeropuerto de Arequipa y ahí conoció a mi madre ¿aviador comercial o aviador militar? trabajaba en la Panagra lo que era la antigua Panamérica que era la Panagra y él trabajó ahí ¿como piloto? sí mi padre también ha sid…
ref_familia-padre-piloto,Familia (padre piloto),reference,Personales y biográficas,…r militar? trabajaba en la Panagra lo que era la antigua Panamérica que era la Panagra y él trabajó ahí ¿como piloto? sí mi padre también ha sido uno de los pioneros un poco aventurero ha sido muchas cosas fue piloto fue marin…
ref_mario-vargas-llosa,Mario Vargas Llosa,reference,Personales y biográficas,"…atos para el premio Nobel y por otra parte saber que en España tiene lectores por cientos de miles Bienvenido Mario Vargas Llosa y vamos si le parece hablar un poquito acerca de la obra, de la figura, de la persona de este novelista que t…"
ref_la-casa-verde,La casa verde,reference,Culturales y artísticas,…al máximo y además con una cierta ambición diríamos ¿no? desde el punto de vista ya de la propia novela ¿no? La Casa Verde es una novela que plantea una temática completamente distinta y en la que al parecer Vargas Llosa ya no vive…
ref_conversacion-en-la-catedral,Conversación en La Catedral,reference,Culturales y artísticas,…sabe nunca la amistad como todo es tan relativo ¿no? muy bien después de la Casa Verde el libro siguiente es Conversación en la Catedral yo quisiera que nos hablaras un poco de cómo nace cómo germina la idea de ese libro bueno pues nace también d…
ref_gustave-flaubert,Gustave Flaubert,reference,Culturales y artísticas,"…IX bueno, yo cité ya a Dumas y bueno, Víctor Hugo, por supuesto y después a los autores ya más complejos como Flaubert, Estandard, Balzac y bueno, también escritores modernos, por supuesto Sartre, me imagino Sartre, mucho bueno,…"
ref_madame-bovary-flaubert,Madame Bovary (Flaubert),reference,Culturales y artísticas,…actividad literaria de Mario Vargas Llosa aquí tenemos una por ejemplo la logía perpetua sobre Flopbert sobre Madame Bovary y luego hay otro que yo sepa que es un estudio de García Márquez historia de un deicidio ¿por qué? es raro es…
ref_alexandre-dumas,Alexandre Dumas,reference,Culturales y artísticas,"…rí las novelas de aventuras por las que guardo una gran devoción hasta ahora ¿en especial? bueno, en especial Dumas Dumas lo leí después lo leí después pero en Cochabamba ya recuerdo haber leído a Miguel de Sébaco, por ejempl…"
ref_victor-hugo,Víctor Hugo,reference,Culturales y artísticas,"…través de los escritores franceses sobre todo los escritores del siglo XIX bueno, yo cité ya a Dumas y bueno, Víctor Hugo, por supuesto y después a los autores ya más complejos como Flaubert, Estandard, Balzac y bueno, también escr…"
ref_honore-de-balzac,Honoré de Balzac,reference,Culturales y artísticas,"…a Dumas y bueno, Víctor Hugo, por supuesto y después a los autores ya más complejos como Flaubert, Estandard, Balzac y bueno, también escritores modernos, por supuesto Sartre, me imagino Sartre, mucho bueno, yo hablaba de las…"
ref_jean-paul-sartre,Jean-Paul Sartre,reference,Culturales y artísticas,"…autores ya más complejos como Flaubert, Estandard, Balzac y bueno, también escritores modernos, por supuesto Sartre, me imagino Sartre, mucho bueno, yo hablaba de las primeras lecturas antes de las lecturas ya universitarias…"
ref_albert-camus,Albert Camus,reference,Culturales y artísticas,"…ras antes de las lecturas ya universitarias cuando yo entré a la universidad, por supuesto es decir, Sartre y Camus, digamos eran un poco los maestros intelectuales de mi generación y creo que ocurría eso prácticamente en tod…"
ref_jorge-luis-borges,Jorge Luis Borges,reference,Culturales y artísticas,…s que esos esos pocos nombres ¿no? creo que gracias al boom se descubrieron a escritores extraordinarios como Borges por ejemplo que apenas si era leído fuera de Argentina y que hoy día es leído en todas las las lenguas del mu…
ref_gabriel-garcia-marquez,Gabriel García Márquez,reference,Culturales y artísticas,…os dos protagonistas fundamentales del boom del llamado boom hispanoamericano son precisamente Vargas Llosa y García Márquez tú conociste a Gabriel García Márquez en Caracas en ocasión de recoger tu premio exactamente nos conocimos al…
ref_juan-benet,Juan Benet,reference,Culturales y artísticas,…y interesantes y que quizá no estén suficientemente justamente valorados en lo que son no sé por ejemplo pues Benet me parece un escritor muy importante me gustan mucho las novelas de Juan Marce yo soy un gran entusiasta las…
ref_luis-goytisolo,Luis Goytisolo,reference,Culturales y artísticas,…critor muy original con un humor muy extraordinario hay una novela que me parece muy interesante la novela de Luis Goetisolo publicada en México y que creo que ahora ya circula en España que es recuento que creo que es uno de los libr…
ref_juan-marse,Juan Marsé,reference,Culturales y artísticas,…n lo que son no sé por ejemplo pues Benet me parece un escritor muy importante me gustan mucho las novelas de Juan Marce yo soy un gran entusiasta las novelas de Marce que me parece un escritor muy original con un humor muy extrao…
ref_camilo-jose-cela,Camilo José Cela,reference,Culturales y artísticas,…e varios escritores se dice que para el Nobel de este año están propuestos García Márquez Vargas Llosa Camilo José Cela y me parece que ahí se acaba la lista de los escritores hispanoamericanos o hispano hablantes pero de cualqui…
ref_octavio-paz,Octavio Paz,reference,Culturales y artísticas,…era leído fuera de Argentina y que hoy día es leído en todas las las lenguas del mundo ¿no? y escritores como Octavio Paz por ejemplo que no escribe novelas pero que es un gran ensayista y un gran poeta en cierta forma bueno adquir…
ref_recuento-novela-de-luis-goytisolo,Recuento (novela de Luis Goytisolo),reference,Culturales y artísticas,…interesante la novela de Luis Goetisolo publicada en México y que creo que ahora ya circula en España que es recuento que creo que es uno de los libros más ambiciosos que se han escrito en los últimos años en lengua española un…
ref_dictadura-militar-del-peru-19681980,Dictadura militar del Perú (1968–1980),reference,Contexto socio-histórico,…iden con experiencias de un país entero entre el año 48 y el 56 nosotros estuvimos en el Perú para variar una dictadura militar que es la dictadura conocida con el nombre de los Cheños la dictadura del General Odría y estos años…
ref_junta-militar,Junta militar,reference,Contexto socio-histórico,…ondiciones monstruosas de injusticia en fin que existía en mi país ¿no? hay que hay que reconocer ¿no? que la junta militar en estos en estos ocho años pues ha introducido algunos cambios positivos ¿no? ha hecho una reforma agraria p…
ref_reforma-agraria-peru,Reforma agraria (Perú),reference,Contexto socio-histórico,…la junta militar en estos en estos ocho años pues ha introducido algunos cambios positivos ¿no? ha hecho una reforma agraria por ejemplo que es bastante profunda y una política de participación de los trabajadores en las empresas que…
ref_censura-peru-y-espana,Censura (Perú y España),reference,Contexto socio-histórico,…un momento muy interesante creo que ahora con con la apertura y si es que la apertura en lo que se refiere a censura es real y profunda pues yo creo que la novela española la literatura española en general tendrá un verdadero…
ref_francisco-morales-bermudez,Francisco Morales Bermúdez,reference,Contexto socio-histórico,…ción en fin han habido muchos abusos de ese tipo ¿no? con el cambio de la presidencia en fin con la subida de Morales Bermúdez eso se atenuó un poco es decir se permitió que regresaran algunos exilados no todos desgraciadamente y que sa…
ref_premio-romulo-gallegos-caracas,Premio Rómulo Gallegos (Caracas),reference,Contexto socio-histórico,…afía de Mario Vargas Llosa y que por otra parte obtuvo un premio de gran importancia que fue el primer premio Rómulo Gallegos Rómulo Gallegos el año 66 en Caracas donde por cierto en ese momento se produce un hecho que tiene su importa…
ref_premio-nobel-de-literatura-candidatura,Premio Nobel de Literatura (candidatura),reference,Contexto socio-histórico,…uándo ni con quién exacto y esa noticia de que se está promocionando el nombre de Vargas Llosa para el premio Nobel de Literatura de este año es una noticia me imagino que también muy satisfactoria para un escritor pues es primera noticia…
ref_premio-nobel-mencion-generica,Premio Nobel (mención genérica),reference,Contexto socio-histórico,…bra literaria ha alcanzado en el mundo saber que su nombre en estos días circula entre los candidatos para el premio Nobel y por otra parte saber que en España tiene lectores por cientos de miles Bienvenido Mario Vargas Llosa y vamo…
ref_festival-de-santander,Festival de Santander,reference,Contexto socio-histórico,…s Yosa llegaron un poco después y llegaron y se concentraron todos en Arequipa y bueno parece que llegaron de Santander pero fueron a Santander de un pueblecito que está entre Barcelona y Valencia que se llama de la Yosa precisam…
ref_universidad-de-santo-domingo-rep-dominicana,Universidad de Santo Domingo (Rep. Dominicana),reference,Contexto socio-histórico,"…orque la está leyendo todo el mundo todavía y de la que Mario viene de dirigir una versión cinematográfica en Santo Domingo creo ¿no? Sí, bueno de co-dirigirla en realidad no soy solo sino lo hemos dirigido a La Limón con un cineasta…"
ref_peru,Perú,reference,Contexto socio-histórico,"…ersona de este novelista que tiene más bien el aire de un galán de cine Mario Vargas Llosa nació en Arequipa, Perú en 1936 me parece que fue en el mes de marzo también y por lo tanto está muy cerca de los 40 Exactamente, sí,…"
ref_espana,España,reference,Contexto socio-histórico,…r que su nombre en estos días circula entre los candidatos para el premio Nobel y por otra parte saber que en España tiene lectores por cientos de miles Bienvenido Mario Vargas Llosa y vamos si le parece hablar un poquito acer…
ref_madrid,Madrid,reference,Contexto socio-histórico,"…manera muy precaria no, no era una beca que estaba dotada con 120 dólares que en el año 58 era una fortuna en Madrid realmente viví como un príncipe con esa cantidad pero yo había oído contar que Vargas Llosa tuvo que inventar…"
ref_barcelona,Barcelona,reference,Contexto socio-histórico,…a España y presenté aquí a un concurso un concurso de libros de cuentos que había organizado una editorial de Barcelona que se llamaba la editorial Rocas y ese fue mi primer libro publicado ¿guardas por él una cierta estimación o…
ref_america-latina,América Latina,reference,Contexto socio-histórico,"…enómeno bueno, no sé si ahora ocurre también con los jóvenes pero hace 20, 25 años era un fenómeno general en América Latina la literatura francesa en particular y la cultura francesa en general ha influido muchísimo en la historia en…"
ref_estados-unidos,Estados Unidos,reference,Contexto socio-histórico,…vió en muchos sitios en Argentina y bueno viajando como marino sobre todo hasta que al final se fueron a ir a Estados Unidos donde ven allá hace unos 20 años ¿qué heredaste más de tu padre? ese afán de viajar la imaginación quizá un p…
ref_caracas,Caracas,reference,Contexto socio-histórico,…te obtuvo un premio de gran importancia que fue el primer premio Rómulo Gallegos Rómulo Gallegos el año 66 en Caracas donde por cierto en ese momento se produce un hecho que tiene su importancia histórica y es que Mario Vargas…
ref_caceres,Cáceres,reference,Contexto socio-histórico,…enece? eso fue el año 58 fue en Madrid sí cuando estaba en la universidad aquí hubo un festival folclórico en Cáceres y entonces había muchos grupos hispanoamericanos que venían al festival y entonces un grupo de peruanos que é…
ref_santo-domingo,Santo Domingo,reference,Contexto socio-histórico,"…orque la está leyendo todo el mundo todavía y de la que Mario viene de dirigir una versión cinematográfica en Santo Domingo creo ¿no? Sí, bueno de co-dirigirla en realidad no soy solo sino lo hemos dirigido a La Limón con un cineasta…"
ref_santander,Santander,reference,Contexto socio-histórico,…s Yosa llegaron un poco después y llegaron y se concentraron todos en Arequipa y bueno parece que llegaron de Santander pero fueron a Santander de un pueblecito que está entre Barcelona y Valencia que se llama de la Yosa precisam…
ref_sechura,Sechura,reference,Contexto socio-histórico,"…e pero cuando yo llegué a Piura, el año 45 estaba en el centro de un desierto enorme desierto, el desierto de Sechura y eso había impuesto a la ciudad unas características muy especiales era una ciudad muy aislada sus habitante…"
ref_sudamerica,Sudamérica,reference,Contexto socio-histórico,…novelísticas de ambos ¿no? en Lima hubo en Lima ese año mismo el año del Rómulo Gallegos él hizo una gira por Sudamérica estuvo en Lima y entonces tuvimos una conversación en la universidad una conversación no era sobre técnicas n…
ref_america,América,reference,Contexto socio-histórico,"…enómeno bueno, no sé si ahora ocurre también con los jóvenes pero hace 20, 25 años era un fenómeno general en América Latina la literatura francesa en particular y la cultura francesa en general ha influido muchísimo en la hist…"
ref_piura-2,Piura,reference,Contexto socio-histórico,"…e parece cuando la familia regresa al Perú y esa una ciudad que luego aparece en la segunda de tus novelas es Piura, ¿no? Piura, sí, es una ciudad del norte del Perú una ciudad muy distinta de Cochabamba que es una ciudad, bu…"
ref_lima-2,Lima,reference,Contexto socio-histórico,"…o la leyenda bueno, mientras tanto han pasado otras cosas simultáneamente en la vida de Vargas Llosa ha ido a Lima en el año 47 y en el año 1950 se produce su entrada en el famoso colegio en el colegio que quizá era famoso e…"
ref_arequipa-2,Arequipa,reference,Contexto socio-histórico,"…a, de la persona de este novelista que tiene más bien el aire de un galán de cine Mario Vargas Llosa nació en Arequipa, Perú en 1936 me parece que fue en el mes de marzo también y por lo tanto está muy cerca de los 40 Exactament…"
ref_cochabamba,Cochabamba,reference,Contexto socio-histórico,"…ra donde nací ya adolescente porque mi familia se trasladó a Bolivia cuando yo tenía apenas un año vivimos en Cochabamba, cerca de 10 años así que en realidad fue en Bolivia donde aprendí a caminar, a hablar, a leer, a escribir ¿Q…"
ref_alvaro-vargas-llosa,Álvaro Vargas Llosa,reference,Personales y biográficas,…en mi obra vida privada te has casado dos veces sí ¿cuántos hijos has tenido? tres tres ¿se llaman? se llaman Álvaro Gonzalo y la última que es catalana se llama Morgana así así en Barcelona ¿cuántos años tienen? los tres el m…
ref_gonzalo-vargas-llosa,Gonzalo Vargas Llosa,reference,Personales y biográficas,…bra vida privada te has casado dos veces sí ¿cuántos hijos has tenido? tres tres ¿se llaman? se llaman Álvaro Gonzalo y la última que es catalana se llama Morgana así así en Barcelona ¿cuántos años tienen? los tres el mayor tie…
ref_morgana-vargas-llosa,Morgana Vargas Llosa,reference,Personales y biográficas,…cuántos hijos has tenido? tres tres ¿se llaman? se llaman Álvaro Gonzalo y la última que es catalana se llama Morgana así así en Barcelona ¿cuántos años tienen? los tres el mayor tiene diez el segundo tiene ocho y Morgana dos ¿…
ref_universidad-nacional-mayor-de-san-marcos,Universidad Nacional Mayor de San Marcos,reference,Personales y biográficas,"…qué año era cuando vino? en el 58 al terminar la universidad en el 58 con una beca que una beca que daba a la Universidad de San Marcos sí y que era una beca que creo que estaba dotada como casi todas las becas de una manera muy precaria no, no…"
ref_boom-latinoamericano-movimiento,Boom latinoamericano (movimiento),reference,Culturales y artísticas,…sa conoce al otro protagonista porque aunque son más parece claro que los dos protagonistas fundamentales del boom del llamado boom hispanoamericano son precisamente Vargas Llosa y García Márquez tú conociste a Gabriel Garcí…
ref_paris,París,reference,Contexto socio-histórico,…argas yo saqué su etapa de periodismo sobre todo de periodismo bueno en Perú por una parte pero sobre todo en París creo ¿no? ¿estuviste haciendo mucha radio? sí bueno yo trabajé en radio en Lima ya trabajé en radio para amer…
ref_nostradamus,Nostradamus,reference,Pensamiento y conocimiento,"…umas lo leí después lo leí después pero en Cochabamba ya recuerdo haber leído a Miguel de Sébaco, por ejemplo Nostradamus, el hijo de Nostradamus haber quedado fascinado con ese tipo de historias hay una cosa curiosa en Vargas Llos…"
ref_jose-maria-gutierrez-cine,José María Gutiérrez (cine),reference,Culturales y artísticas,"…, bueno de co-dirigirla en realidad no soy solo sino lo hemos dirigido a La Limón con un cineasta español con José María Gutiérrez ¿cómo ha resultado la experiencia? Bueno para mí sumamente instructiva porque mi experiencia de cine era prác…"
ref_la-casa-verde-2,La casa verde,reference,Culturales y artísticas,…máximo y además con una cierta ambición diríamos ¿no? desde el punto de vista ya de la propia novela ¿no? La Casa Verde es una novela que plantea una temática completamente distinta y en la que al parecer Vargas Llosa ya no vive…
ref_pantaleon-y-las-visitadoras,Pantaleón y las visitadoras,reference,Culturales y artísticas,"…este incidente parece que ha sido fraguado por un editor para levantar las ventas del Otoño del Patriarque de Pantaleón y las visitadoras ¿pero no es eso? no, no, en absoluto o sea que no ha sido ni un incidente comercial ni un i…"
ref_historia-de-un-deicidio-ensayo-sobre-garcia-marquez,Historia de un deicidio (ensayo sobre García Márquez),reference,Culturales y artísticas,…perpetua sobre Flopbert sobre Madame Bovary y luego hay otro que yo sepa que es un estudio de García Márquez historia de un deicidio ¿por qué? es raro es difícil que un escritor de creación de ficción que un novelista sea también un hombre ca…
ref_facultad-de-derecho-san-marcos,Facultad de Derecho (San Marcos),reference,Personales y biográficas,…e de ese tipo entonces elegí la abogacía que es lo que suele ocurrir con muchos escritores y entonces estudié Derecho aunque muy pronto descubrí que jamás sería capaz de ejercer el Derecho descubrí que era una aberración peor q…
ref_obra-teatral-escolar-sobre-el-inca,Obra teatral escolar sobre el Inca,reference,Culturales y artísticas,…fue ganando terreno hay una noticia acerca de una obra de teatro escrita a los 16 años titulada La huida del Inca si es una obra que escribí cuando estaba en el colegio todavía me gustaba mucho el teatro es lo primero que e…
